date,name,product,amount
2019-10-02,서천군수산업협동조합,멸치,100411
2019-10-03,서천군수산업협동조합,멸치,100411
2019-10-04,서천군수산업협동조합,멸치,99600
2019-10-05,서천군수산업협동조합,멸치,99600
2019-10-06,서천군수산업협동조합,멸치,99600
2019-10-07,서천군수산업협동조합,멸치,100419
2019-10-08,서천군수산업협동조합,멸치,100596
2019-10-09,서천군수산업협동조합,멸치,99989
2019-10-10,서천군수산업협동조합,멸치,97591
2019-10-11,서천군수산업협동조합,멸치,97371
2019-10-12,서천군수산업협동조합,멸치,100683
2019-10-13,서천군수산업협동조합,멸치,100683
2019-10-14,서천군수산업협동조합,멸치,102535
2019-10-15,서천군수산업협동조합,멸치,102565
2019-10-16,서천군수산업협동조합,멸치,101979
2019-10-17,서천군수산업협동조합,멸치,103501
2019-10-18,서천군수산업협동조합,멸치,105213
2019-10-19,서천군수산업협동조합,멸치,106194
2019-10-20,서천군수산업협동조합,멸치,106194
2019-10-21,서천군수산업협동조합,멸치,106736
2019-10-22,서천군수산업협동조합,멸치,109672
2019-10-23,서천군수산업협동조합,멸치,110982
2019-10-24,서천군수산업협동조합,멸치,111491
2019-10-25,서천군수산업협동조합,멸치,111019
2019-10-26,서천군수산업협동조합,멸치,111019
2019-10-27,서천군수산업협동조합,멸치,111019
2019-10-28,서천군수산업협동조합,멸치,111930
2019-10-29,서천군수산업협동조합,멸치,112289
2019-10-30,서천군수산업협동조합,멸치,112330
2019-10-31,서천군수산업협동조합,멸치,114131
2019-11-01,서천군수산업협동조합,멸치,115639
2019-11-02,서천군수산업협동조합,멸치,115611
2019-11-03,서천군수산업협동조합,멸치,115611
2019-11-04,서천군수산업협동조합,멸치,120809
2019-11-05,서천군수산업협동조합,멸치,120794
2019-11-06,서천군수산업협동조합,멸치,124553
2019-11-07,서천군수산업협동조합,멸치,124553
2019-11-08,서천군수산업협동조합,멸치,127209
2019-11-09,서천군수산업협동조합,멸치,126809
2019-11-10,서천군수산업협동조합,멸치,126809
2019-11-11,서천군수산업협동조합,멸치,127421
2019-11-12,서천군수산업협동조합,멸치,125484
2019-11-13,서천군수산업협동조합,멸치,125941
2019-11-14,서천군수산업협동조합,멸치,121205
2019-11-15,서천군수산업협동조합,멸치,122134
2019-11-16,서천군수산업협동조합,멸치,122134
2019-11-17,서천군수산업협동조합,멸치,122134
2019-11-18,서천군수산업협동조합,멸치,124319
2019-11-19,서천군수산업협동조합,멸치,124319
2019-11-20,서천군수산업협동조합,멸치,125376
2019-11-21,서천군수산업협동조합,멸치,125322
2019-11-22,서천군수산업협동조합,멸치,125322
2019-11-23,서천군수산업협동조합,멸치,125294
2019-11-24,서천군수산업협동조합,멸치,125294
2019-11-25,서천군수산업협동조합,멸치,124834
2019-11-26,서천군수산업협동조합,멸치,125796
2019-11-27,서천군수산업협동조합,멸치,125796
2019-11-28,서천군수산업협동조합,멸치,125796
2019-11-29,서천군수산업협동조합,멸치,125968
2019-11-30,서천군수산업협동조합,멸치,125968
2019-12-01,서천군수산업협동조합,멸치,125968
2019-12-02,서천군수산업협동조합,멸치,122864
2019-12-03,서천군수산업협동조합,멸치,125465
2019-12-04,서천군수산업협동조합,멸치,125405
2019-12-05,서천군수산업협동조합,멸치,124858
2019-12-06,서천군수산업협동조합,멸치,123699
2019-12-07,서천군수산업협동조합,멸치,123699
2019-12-08,서천군수산업협동조합,멸치,123699
2019-12-09,서천군수산업협동조합,멸치,123045
2019-12-10,서천군수산업협동조합,멸치,123045
2019-12-11,서천군수산업협동조합,멸치,124906
2019-12-12,서천군수산업협동조합,멸치,124906
2019-12-13,서천군수산업협동조합,멸치,122738
2019-12-14,서천군수산업협동조합,멸치,122738
2019-12-15,서천군수산업협동조합,멸치,122738
2019-12-16,서천군수산업협동조합,멸치,123099
2019-12-17,서천군수산업협동조합,멸치,119564
2019-12-18,서천군수산업협동조합,멸치,119659
2019-12-19,서천군수산업협동조합,멸치,119659
2019-12-20,서천군수산업협동조합,멸치,114541
2019-12-21,서천군수산업협동조합,멸치,114541
2019-12-22,서천군수산업협동조합,멸치,114541
2019-12-23,서천군수산업협동조합,멸치,115449
2019-12-24,서천군수산업협동조합,멸치,115849
2019-12-25,서천군수산업협동조합,멸치,117478
2019-12-26,서천군수산업협동조합,멸치,117478
2019-12-27,서천군수산업협동조합,멸치,117450
2019-12-28,서천군수산업협동조합,멸치,117450
2019-12-29,서천군수산업협동조합,멸치,117450
2019-12-30,서천군수산업협동조합,멸치,117012
2019-12-31,서천군수산업협동조합,멸치,115276
2020-01-01,서천군수산업협동조합,멸치,115276
2020-01-02,서천군수산업협동조합,멸치,115276
2020-01-03,서천군수산업협동조합,멸치,116005
2020-01-04,서천군수산업협동조합,멸치,116005
2020-01-05,서천군수산업협동조합,멸치,116005
2020-01-06,서천군수산업협동조합,멸치,108016
2020-01-07,서천군수산업협동조합,멸치,107615
2020-01-08,서천군수산업협동조합,멸치,107245
2020-01-09,서천군수산업협동조합,멸치,107026
2020-01-10,서천군수산업협동조합,멸치,106734
2020-01-11,서천군수산업협동조합,멸치,106374
2020-01-12,서천군수산업협동조합,멸치,106374
2020-01-13,서천군수산업협동조합,멸치,105824
2020-01-14,서천군수산업협동조합,멸치,106528
